2289458;-0.00239;0.00240;0.00046
2290426;0.00187;0.00347;-0.00167
2291528;0.00187;0.00240;0.00046
2292615;0.00294;0.00560;0.00259
2293712;0.00187;0.00134;0.00472
2294808;0.00081;-0.00186;0.00579
2295717;-0.00026;0.00134;0.00046
2297001;-0.00239;0.00240;-0.00486
2298102;0.00294;0.00134;-0.00486
2299199;0.00294;0.00027;-0.00167
2300294;0.00081;0.00027;-0.00273
2301391;0.00187;-0.00079;-0.00380
2302494;-0.00026;-0.00079;-0.00486
2303416;-0.00132;-0.00292;-0.00060
2304529;-0.00132;0.00027;-0.00060
2305628;0.00294;0.00027;-0.00060
2306731;0.00401;-0.00186;-0.00060
2307837;0.00187;0.00134;-0.00060
2308940;-0.00132;0.00027;-0.00167
2310039;-0.00771;-0.00505;-0.00273
2311156;-0.00345;-0.00505;-0.00060
2312260;-0.00239;-0.00292;0.00153
2313369;-0.00558;-0.00612;0.00046
2314288;-0.00452;-0.00719;0.00366
2315392;-0.00345;-0.00399;0.00472
2316494;-0.00026;-0.00292;-0.00167
2317599;-0.00239;0.00027;0.00046
2318700;-0.00239;-0.00186;-0.00167
2319813;-0.00132;-0.00505;-0.00273
2320928;-0.00026;-0.00612;0.00046
2322027;-0.00239;-0.00079;-0.00273
2323132;-0.00026;0.00134;-0.00167
2324231;0.00507;0.00134;-0.00273
2325152;0.00187;-0.00292;-0.00167
2326251;0.00081;-0.00292;-0.00167
2327360;-0.00026;-0.00399;-0.00380
2328469;0.00081;-0.00612;-0.00380
2329571;-0.00026;-0.00399;-0.00060
2330676;-0.00132;-0.00505;-0.00060
2331790;0.00401;-0.00505;0.00046
2332894;0.00827;-0.00719;0.00153
2333988;0.00827;-0.00612;0.00153
2335081;0.00720;-0.00612;0.00046
2336182;0.00401;-0.00719;0.00259
2337277;-0.00239;-0.00079;0.00153
2338198;-0.00345;-0.00186;-0.00167
2339305;-0.00132;-0.00292;0.00046
2340409;-0.00239;-0.00292;-0.00060
2341524;-0.00452;-0.00186;-0.00167
2342629;-0.00132;-0.00186;0.00046
2343738;-0.00239;-0.00079;-0.00167
2344850;0.00081;-0.00079;0.00046
2345954;-0.00026;-0.00079;0.00259
2347053;-0.00239;-0.00079;0.00153
2347973;-0.00132;-0.00186;0.00366
2349072;0.00081;-0.00292;0.00153
